0	1	2
0	2	3
4	5	1
0	4	1
3	6	7
0	3	7
0	7	4
8	9	5
5	4	8
10	6	11
6	10	7
12	8	4
4	7	12
13	7	10
13	12	7
14	15	9
9	8	14
16	14	8
8	12	16
17	11	18
11	17	10
19	10	17
13	10	19
16	12	20
13	19	20
13	20	12
21	22	15
15	14	21
23	24	22
22	21	23
25	21	14
14	16	25
26	25	16
26	16	20
27	18	28
18	27	17
29	17	27
19	17	29
29	30	19
19	30	20
31	26	20
31	20	30
32	33	24
24	23	32
34	35	33
33	32	34
36	23	21
21	25	36
37	32	23
23	36	37
38	36	25
25	26	38
39	38	26
31	39	26
40	28	41
28	40	27
42	27	40
27	42	29
29	42	43
30	29	43
30	43	44
31	30	44
31	44	39
45	41	46
41	45	40
47	48	35
35	34	47
49	34	32
32	37	49
50	47	34
34	49	50
51	37	36
36	38	51
52	49	37
37	51	52
53	51	38
38	39	53
54	53	39
39	44	54
55	40	45
40	55	42
56	42	55
56	43	42
57	43	56
57	44	43
58	44	57
58	54	44
59	46	60
46	59	45
61	45	59
45	61	55
62	60	63
60	62	59
64	65	48
48	47	64
66	67	65
65	64	66
68	64	47
47	50	68
69	50	49
49	52	69
70	68	50
50	69	70
71	52	51
51	53	71
72	69	52
52	71	72
73	71	53
53	54	73
54	74	73
58	74	54
75	55	61
55	75	56
76	56	75
56	76	57
77	57	76
58	57	77
58	77	74
61	78	75
79	59	62
59	79	61
78	61	79
80	63	81
63	80	62
82	62	80
62	82	79
83	81	84
81	83	80
85	86	67
67	66	85
87	88	86
87	86	85
89	66	64
64	68	89
85	66	90
66	89	90
91	89	68
68	70	91
92	70	69
69	72	92
93	91	70
70	92	93
94	72	71
71	73	94
95	92	72
72	94	95
96	94	73
96	73	74
97	96	74
97	74	98
77	98	74
99	75	78
75	99	76
100	76	99
76	100	77
98	77	100
78	101	99
102	79	82
79	102	78
101	78	102
103	80	83
80	103	82
104	82	103
82	104	102
105	84	106
84	105	83
107	83	105
83	107	103
106	108	105
108	106	109
88	110	111
88	87	110
